Title,SelectionPhase1,Authors,Journal,Year,Abstract,DOI,source,Research Areas,Author Keywords,DOIURL
A Cognitive Behavioral Intervention for Driving for Autistic Teens and Adults: A Pilot Study,Not Multi User,"Baker-Ericzén, MJ; Smith, L; Tran, A; Scarvie, K",AUTISM IN ADULTHOOD,2021,"Background: For many autistic individuals approaching adulthood, interventions to promote skills toward independence are lacking. Driving is an important ability to cultivate as it may be a critical step to attaining independence, securing and maintaining work, and fostering relationships. Only about one third of able autistic individuals drive independently, and fear to drive is a common reason for not driving. Methods: This initial pilot study was a 3-month open trial to investigate the feasibility, acceptability, and initial estimates of outcomes for the newly developed Cognitive Behavioral Intervention for Driving (CBID) intervention, a manualized curriculum to enhance executive functioning (EF) and emotional regulation (ER) skill development for driving, combined with individualized commentary-based driving simulator practice, in autistic teens and adults within a community research environment. Nineteen participants received the CBID intervention in 1.5-hour group sessions for 10 weeks, across two cohorts, with approximately five individualized driving simulator sessions. Data were collected on anxiety symptoms, driving cognitions, driving attitudes, and simulated driving performance at pre- and post-intervention assessments. Results: Program completion rate was 81%. Participants and parents rated both the intervention and simulator practice sessions with high satisfaction. All the participants (100%) reported both a positive attitude change (interest toward driving) and a desire to drive in the future at the post-intervention assessment. Significant changes occurred for driving cognitions, attitudes, and behaviors, and 47% of participants obtained a driver's permit or license by 2 months post-intervention. Conclusions: For autistic individuals, the CBID intervention appeared to directly impact the pursuit toward driving goals by both increasing driving attitudes and behaviors and reducing anxiety/apprehension. This highlights the need for driving intervention programs designed specific to autistic teens/adults that focus on EF and ER skills coupled with individualized simulator practice. CBID could be provided in community services to increase the number of autistic individuals driving. Lay summary Why was this study done? Driving contributes greatly to independence in many teens and adults. Anxiety can act as a barrier to that independence by affecting driving attitudes, ability and performance. Autistic individuals are often affected by anxiety, executive functioning, and emotion regulation challenges. Previous studies show that virtual reality training and Cognitive Behavioral Therapy (CBT), separately, can reduce driving anxiety in autistic individuals and support driving skills. However, to date, no studies have developed and tested a manualized intervention specific to driving that combines such methods. What was the purpose of this study? The goal of this study was to develop and test a group intervention, called Cognitive Behavioral Intervention for Driving (CBID), combined with individualized, coached driving simulator practice to help reduce fears and increase cognitions, attitudes and performance towards driving. The study examined the following questions: 1) Do autistic individuals actively participate in CBID? 2) Do autistic participants like CBID? and 3) Are autistic participants more prepared to drive after taking part in CBID than they were before they participated in the program? What did the researchers do? After developing the CBID intervention with community member involvement, the researchers ran 2 intervention groups and individualized driving simulator sessions to a total of 19 enrolled participants. The group intervention focused on strengthening executive functioning and emotion regulation skills in 1.5 hour sessions over 10 weeks and 5, 1 hour driving simulator sessions. Researchers compared data on participant anxiety levels, driving cognitions, attitudes, and performance before and after the intervention. What were the results of the study? Most of the participants completed the program (81%) and all (100%) rated satisfaction with the group and simulator practice. All (100%) of the participants changed attitudes towards driving. Participants had higher levels of positive thoughts about driving, better attitudes towards wanting to drive and less driving errors (like speeding, collisions, crossing lanes) on the driving simulator after completing CBID. Almost half (47%) of participants obtained a driver's permit or license by 2 months after the intervention. What do these findings add to what was already known? This study adds a new option of an integrated approach, CBID, for addressing driving anxiety or apprehension. It provides initial findings of the value of incorporating executive functioning skills with traditional cognitive behavior therapy for enhancing driving readiness. What are the potential weaknesses in the study? This study contained a small sample size that was mostly white male participants. This limits generalizing the results to a representative diverse population. It also did not have a control group or use randomization which means that results can't be interpreted as causal at this time. There was no information about participants obtaining permit/licensure later than 2 months after CBID so it is unclear if some participants require more time to pursue a license. There was no follow up to understand if participants continued to feel comfortable driving overtime. How will these findings help autistic adults now or in the future? This study showed that it's possible to combine virtual reality training and Cognitive Behavioral Therapy into one driving readiness program. The new CBID program may help autistic adults by addressing multiple aspects of what they need to be ready to drive. Since the study used previously tested strategies, enrolled a community sample, manualized the program, and used a services approach, it was designed for broad distribution to other community settings.",10.1089/aut.2020.0009,"pubmed, wos",Psychology; Rehabilitation,autism; teen; adults; driving anxiety intervention; cognitive behavioral therapy; executive functioning,URI::(https://www.doi.org/10.1089/aut.2020.0009)
A Collaboration Between Game Developers and Rehabilitation Researchers to Develop a Web-Based App for Persons With Physical Disabilities: Case Study,Not mental health,"Terrill AL, MacKenzie JJ, Reblin M, Einerson J, Ferraro J, Altizer R.",JMIR Rehabil Assist Technol,2019,NA,10.2196/13511,pubmed,NA,NA,URI::(https://www.doi.org/10.2196/13511)
A Community-Based Intervention to Enhance Subjective Well-Being in Older Adults: Study Design and Baseline Participant Profiles,Good,"Nakada, T; Kozawa, T; Seino, S; Murota, S; Eto, M; Shimasawa, J; Shimizu, Y; Tsurugano, S; Katsukawa, F; Sakamoto, K; Washizaki, H; Ishigaki, Y; Sakamoto, M; Takadama, K; Yanai, K; Matsuo, O; Kameue, C; Suzuki, H; Kurotani, K; Ohkawara, K",HEALTHCARE,2024,"Promoting subjective well-being is a crucial challenge in aging societies. In 2022, we launched a community-based intervention trial (the Chofu-Digital-Choju Movement). This initiative centered on fostering in-person and online social connections to enhance the subjective well-being of older adults. This paper describes the study design and baseline survey. This quasi-experimental study involved community-dwelling older adults aged 65-84 years in Chofu City, Tokyo, Japan. A self-administered questionnaire was distributed to 3742 residents (1681 men and 2061 women), and a baseline survey was conducted in January 2022. We assessed subjective well-being (primary outcome); psychosocial, physical, and dietary factors; and the use of information and communication technology variables (secondary outcomes) among the participants. After the intervention involving online classes, community hubs, and community events, a 2-year follow-up survey will be conducted to evaluate the effects of the intervention, comparing the intervention group (participants) with the control group (non-participants). We received 2503 questionnaires (66.9% response rate); of these, the analysis included 2343 questionnaires (62.6% valid response rate; mean age, 74.4 (standard deviation, 5.4) years; 43.7% male). The mean subjective well-being score was 7.2 (standard deviation, 1.9). This study will contribute to the development of a prototype subjective well-being strategy for older adults.",10.3390/healthcare12030322,wos,Health Care Sciences & Services,subjective well-being; intervention; older adults; isolation; internet,URI::(https://www.doi.org/10.3390/healthcare12030322)
A Contactless App-Based Intervention to Improve Health Behaviors in Airline Pilots: A Randomized Trial,Not mental health,"Wilson, D; Driller, MW; Johnston, B; Gill, ND",AMERICAN JOURNAL OF PREVENTIVE MEDICINE,2023,"Introduction: There is a need for enhanced preventive health care among airline pilots to mitigate the prevalence of cardiometabolic health risk factors.Study design: A randomized, waitlist-controlled trial was utilized to evaluate the effectiveness of a smartphone-based app intervention for improving health behaviors and cardiometabolic health parameters.Setting/participants: A total of 186 airline pilots (aged 43.2 +/- 9.1 years; male, 64%) were recruited and participated in the trial during 2022. Intervention: This intervention was a personalized, 16-week smartphone-based app multicompo-nent physical activity, healthy eating, and sleep hygiene intervention.Main outcome measures: Outcome measures of objective health (Cooper's 12-minute exercise test, resting heart rate, push ups, plank isometric hold, body mass), subjective health (self-rated health, perceived psychological stress and fatigue), and health behaviors (weekly physical activity, sleep quality and duration, fruit and vegetable intake) were collected at baseline and after interven-tion. The waitlist control completed the same measures.Results: Significant interactions for time X group from baseline to 16 weeks were found for all out-come measures (p<0.001). Significant between-group differences for positive health changes in favor of the intervention group were found after intervention for all outcome measures (p<0.05, d=0.4-1.0) except for self-rated health, body mass, and Pittsburgh Sleep Quality Index score.Conclusions: Study findings show that an app-based health behavior intervention can elicit posi-tive cardiometabolic health changes among airline pilots over 16 weeks, associated with trivial to large effect sizes.Trial registration: The trial protocol was prospectively registered at The Australian New Zealand Clinical Trials Registry (ACTRN12622000288729). Am J Prev Med 2023;64(5):666-676. (c) 2022 American Journal of Preventive Medicine. Published by Elsevier Inc. All rights reserved.",10.1016/j.amepre.2022.12.011,"pubmed, wos","Public, Environmental & Occupational Health; General & Internal Medicine",NA,URI::(https://www.doi.org/10.1016/j.amepre.2022.12.011)
A Cross-Cultural Validation of VR Treatment System for Flying Phobia in the Mexican Population,Not Multi User,"Cárdenas G, Botella C, Quero S, Moreyra L, De La Rosa A, Muñoz S.",Stud Health Technol Inform,2009,NA,,pubmed,NA,NA,URI::(https://www.doi.org/)
A Cross-Cultural Validation of VR Treatment System for Flying Phobia in the Mexican Population,Not Multi User,"Cárdenas, G; Botella, C; Quero, S; Moreyra, L; De la Rosa, A; Muñoz, S",ANNUAL REVIEW OF CYBERTHERAPY AND TELEMEDICINE,2009,"Anxiety as a symptom or disorder is affected by multiple variables such as antecedent events, interpretation of the events, psychological vulnerability, and individual differences in the reaction towards an event. Nowadays, virtual-reality therapy is used as therapeutic tool for patients suffering from some kind of anxiety disorder. In Mexico, the National Survey on Psychiatric Epidemiology [1] informed that anxiety disorders are the most common disorders followed by affective disorders, which are more prevalent in women than in men. Among the different anxiety disorders, the category of specific phobias (7.1%) was the most common. Based on this demand, a collaborative effort between research groups from the University Jaume I in Spain and the National Autonomous University of Mexico (UNAM), initiated a project which purpose was the technological transfer of systems based on virtual reality for the treatment of Fear of Flying to be implemented and evaluated in the Mexican population. The treatment protocol developed by Botella et al., [2] has been applied to five volunteer participants. In this paper we present data of adapted treatment protocols in Mexican population that support the efficacy of VR of treatment of fear of flying, achieved by the Spanish research group.",NA,wos,Computer Science,Virtual reality; fear of flying; phobias; cognitive-behavioral treatment,URI::(https://www.doi.org/NA)
A Customized Social Network Platform (Kids Helpline Circles) for Delivering Group Counseling to Young People Experiencing Family Discord That Impacts Their Well-Being: Exploratory Study,Good,"Campbell, A; Ridout, B; Amon, K; Navarro, P; Collyer, B; Dalgleish, J",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,"Background: It has often been reported that young people are at high risk of mental health concerns, more so than at any other time in development over their life span. The situational factors that young people report as impacting their well-being are not addressed as often: specifically, family discord. Kids Helpline, a national service in Australia that provides free counseling online and by telephone to young people in distress, report that family discord and well-being issues are one of the major concerns reported by clients. In order to meet the preferences that young people seek when accessing counseling support, Kids Helpline has designed and trialed a custom-built social network platform for group counseling of young people experiencing family discord that impacts their well-being. Objective: In this exploratory study, we communicate the findings of Phase 1 of an innovative study in user and online counselor experience. This will lead to an iterative design for a world-first, purpose-built social network that will do the following: (1) increase reach and quality of service by utilizing a digital tool of preference for youth to receive peer-to-peer and counselor-to-peer support in a safe online environment and (2) provide the evidence base to document the best practice for online group counseling in a social network environment. Methods: The study utilized a participatory action research design. Young people aged 13-25 years (N=105) with mild-to-moderate depression or anxiety (not high risk) who contacted Kids Helpline were asked if they would like to trial the social networking site (SNS) for peer-to-peer and counselor-to-peer group support. Subjects were grouped into age cohorts of no more than one year above or below their reported age and assigned to groups of no more than 36 participants, in order to create a community of familiarity around age and problems experienced. Each group entered into an 8-week group counseling support program guided by counselors making regular posts and providing topic-specific content for psychoeducation and discussion. Counselors provided a weekly log of events to researchers; at 2-week intervals, subjects provided qualitative and quantitative feedback through open-ended questions and specific psychometric measures. Results: Qualitative results provided evidence of user support and benefits of the online group counseling environment. Counselors also reported benefits of the modality of therapy delivery. Psychometric scales did not report significance in changes of mood or affect. Counselors and users suggested improvements to the platform to increase user engagement. Conclusions: Phase 1 provided proof of concept for this mode of online counseling delivery. Users and counselors saw value in the model and innovation of the service. Phase 2 will address platform issues with changes to a new social network platform.",10.2196/16176,"pubmed, wos",Health Care Sciences & Services; Medical Informatics,social media; social networking; online counseling; family discord; well-being,URI::(https://www.doi.org/10.2196/16176)
A Cyberbullying Media-Based Prevention Intervention for Adolescents on Instagram: Pilot Randomized Controlled Trial,Not Multi User,"Kutok, ER; Dunsiger, S; Patena, JV; Nugent, NR; Riese, A; Rosen, RK; Ranney, ML",JMIR MENTAL HEALTH,2021,"Background: Between 15% and 70% of adolescents report experiencing cybervictimization Cybervictimization is associated with multiple negative consequences, including depressed mood. Few validated, easily disseminated interventions exist to prevent cybervictimization and its consequences. With over 97% of adolescents using social media (such as YouTube, Facebook, Instagram, or Snapchat), recruiting and delivering a prevention intervention through social media and apps may improve accessibility of prevention tools for at-risk youth. Objective: This study aims to evaluate the feasibility and acceptability of and obtain preliminary outcome data on IMPACT (Intervention Media to Prevent Adolescent Cyber-Conflict Through Technology), a brief, remote app-based intervention to prevent and reduce the effect of cyberbullying. Methods: From January 30, 2020, to May 3, 2020, a national sample of 80 adolescents with a history of past-year cybervictimization was recruited through Instagram for a randomized control trial of IMPACT, a brief, remote research assistant-led intervention and a fully automated app-based program, versus enhanced web-based resources (control). Feasibility and acceptability were measured by consent, daily use, and validated surveys. Although not powered for efficacy, outcomes (victimization, bystander self-efficacy, and well-being) were measured using validated measures at 8 and 16 weeks and evaluated using a series of longitudinal mixed models. Results: Regarding feasibility, 24.5% (121/494) of eligible participants provided contact information; of these, 69.4% (84/121) completed full enrollment procedures. Of the participants enrolled, 45% (36/80) were randomized into the IMPACT intervention and 55% (44/80) into the enhanced web-based resources groups. All participants randomized to the intervention condition completed the remote intervention session, and 89% (77/80) of the daily prompts were answered. The retention rate was 99% (79/80) at 8 weeks and 96% (77/80) at 16 weeks for all participants. Regarding acceptability, 100% (36/36) of the intervention participants were at least moderately satisfied with IMPACT overall, and 92% (33/36) of the participants were at least moderately satisfied with the app. At both 8 and 16 weeks, well-being was significantly higher (beta=1.17, SE 0.87, P=.02 at 8 weeks and beta=3.24, SE 0.95, P<.001 at 16 weeks) and psychological stress was lower (beta=-.66, SE 0.08, P=.04 at 8 weeks and (beta=-.89, SE 0.09, P<.001 at 16 weeks) among IMPACT users than among control group users. Participants in the intervention group attempted significantly more bystander interventions than those in the control group at 8 weeks (beta=.82, SE 0.42; P=.02). Conclusions: This remote app-based intervention for victims of cyberbullying was feasible and acceptable, increased overall well-being and bystander interventions, and decreased psychological stress. Our findings are especially noteworthy given that the trial took place during the COVID-19 pandemic. The use of Instagram to recruit adolescents can be a successful strategy for identifying and intervening with those at the highest risk of cybervictimization.",10.2196/26029,"pubmed, wos",Psychiatry,cyberbullying; adolescents; mobile application; messaging; brief interventions; social media; recruitment; mobile phone,URI::(https://www.doi.org/10.2196/26029)
A Digital Game and School-Based Intervention for Students in Hong Kong: Quasi-Experimental Design,Not mental health,"Shum, AKY; Lai, ESY; Leung, WG; Cheng, MNS; Wong, HK; So, SWK; Law, YW; Yip, PSF",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,"Background: In Hong Kong, with an increasing number of children experiencing mental health issues, there is a need to not only develop innovative interventions but also develop comprehensive prevention interventions so as to reduce their anxiety symptoms and enhance their emotional management and interpersonal relationships. Objective: The aim of this study was to determine the effectiveness of The Adventures of DoReMiFa, an integration model of the cognitive-behavioral approach and positive psychology by using digital game-based and school-based mental health enhancement intervention to magnify the social and emotional health and well-being of the school children in Hong Kong aged 9 to 11 years. Methods: A quasi-experimental design method was used to evaluate this digital game and school-based intervention. The Adventures of DoReMiFa was piloted in 4 primary schools where students were allocated to either an intervention or a control group. The participants were assessed at pre- and postintervention with a 6-month follow-up measuring their mental health knowledge, levels of anxiety symptoms, positive and negative thinking, perspective-taking, and self-esteem. Results: A total of 459 primary school students from 4 primary schools participated in the study. The response rate on the questionnaires answered on the Web was up to 85.1% (391/459). Compared with the control group, the intervention group was found to have significant association with improved mental health knowledge at the time immediately after the intervention (beta=.46; P=.01) and in the 6-month postintervention period (beta=.66; P<.001); for perspective-taking, the intervention group had exhibited a significant improvement 6 months after the completion of the universal program (beta=1.50; P=.03). The intervention, however, was found not to be effective in reducing the rates of anxiety symptoms and negative thinking among the participating students. Conclusions: The Adventures of DoReMiFa, an integration of a digital game-based and school-based mental health enhancement intervention, was shown to be effective in elevating the knowledge of mental health and promoting perspective-taking in the primary school students of Hong Kong. Although there was insufficient evidence to support a reduction in symptoms of anxiety and negative automatic thoughts, the overall results were still encouraging in that a preventive effect was found, indicating that the program has the potential to enhance the mental well-being of schoolchildren. It also suggests that knowledge enhancement may not necessarily lead to behavior change, and more focused effort may be needed to achieve the translation. The implications and limitations of this study and suggestions for future research were also discussed.",10.2196/12003,"pubmed, wos",Health Care Sciences & Services; Medical Informatics,digital game-based learning; school-based learning; mental health; schools; students; child welfare; health promotion; follow-up studies; internet access; public health; non-randomized controlled trials,URI::(https://www.doi.org/10.2196/12003)
A Digital Health Intervention for Stress and Anxiety Relief in Perioperative Care: Protocol for a Feasibility Randomized Controlled Trial,Not mental health,"Kondylakis, H; Giglioli, IAC; Katehakis, DG; Aldemir, H; Zikas, P; Papagiannakis, G; Hors-Fraile, S; González-Sanz, PL; Apostolakis, KC; Stephanidis, C; Núñez-Benjumea, FJ; Baños-Rivera, RM; Fernandez-Luque, L; Kouroubali, A",JMIR RESEARCH PROTOCOLS,2022,"Background: Stress and anxiety are psychophysiological responses commonly experienced by patients during the perioperative process that can increase presurgical and postsurgical complications to a comprehensive and positive recovery. Preventing and intervening in stress and anxiety can help patients achieve positive health and well-being outcomes. Similarly, the provision of education about surgery can be a crucial component and is inversely correlated with preoperative anxiety levels. However, few patients receive stress and anxiety relief support before surgery, and resource constraints make face-to-face education sessions untenable. Digital health interventions can be helpful in empowering patients and enhancing a more positive experience. Digital health interventions have been shown to help patients feel informed about the possible benefits and risks of available treatment options. However, they currently focus only on providing informative content, neglecting the importance of personalization and patient empowerment.Objective: This study aimed to explore the feasibility of a digital health intervention called the Adhera CARINAE Digital Health Program, designed to provide evidence-based, personalized stress-and anxiety-management methods enabled by a comprehensive digital ecosystem that incorporates wearable, mobile, and virtual reality technologies. The intervention program includes the use of advanced data-driven techniques for tailored patient education and lifestyle support.Methods: The trial will include 5 hospitals across 3 European countries and will use a randomized controlled design including 30 intervention participants and 30 control group participants. The involved surgeries are cardiopulmonary and coronary artery bypass surgeries, cardiac valve replacement, prostate or bladder cancer surgeries, hip and knee replacement, maxillofacial surgery, or scoliosis. The control group will receive standard care, and the intervention group will additionally be exposed to the digital health intervention program.Results: The recruitment process started in January 2022 and has been completed. The primary impact analysis is currently ongoing. The expected results will be published in early 2023.Conclusions: This manuscript details a comprehensive protocol for a study that will provide valuable information about the intervention program, such as the measurement of comparative intervention effects on stress; anxiety and pain management; and usability by patients, caregivers, and health care professionals. This will contribute to the evidence planning process for the future adoption of diverse digital health solutions in the field of surgery. Trial Registration: ClinicalTrials.gov NCT05184725; https://www.clinicaltrials.gov/ct2/show/NCT05184725 International Registered Report Identifier (IRRID): DERR1-10.2196/38536",10.2196/38536,"pubmed, wos","Health Care Sciences & Services; Public, Environmental & Occupational Health",CARINAE; digital health; perioperative process; patient empowerment; stress and anxiety management; mobile health; mHealth; virtual reality; VR; health recommender system; HRS,URI::(https://www.doi.org/10.2196/38536)
